,coef,se,z,p,ci_low_95,ci_high_95,significant,stars
intercept,-0.09116437424549935,0.08685114610551219,-1.0496623053741534,0.2938734002050509,-0.2613894926283294,0.0790607441373307,False,
Evidence.statistical,0.00875915429334891,0.09442626516247862,0.09276184203915185,0.9260927658988534,-0.17631292461973838,0.19383123320643622,False,
Evidence.attribution,0.3508212669845188,0.2789869924479793,1.2574825224152124,0.20857896387870944,-0.19598319036866868,0.8976257243377064,False,
Evidence.named_entities,0.08103238051114728,0.10245582287301075,0.7909006851819751,0.4290019485372072,-0.11977734232636889,0.28184210334866344,False,
Specificity.psychological_nearness,-0.08235845889895183,0.13118483192072772,-0.6278047369738549,0.5301318625956735,-0.33947600478151857,0.17475908698361492,False,
Specificity.lexical_concreteness,0.031296027840959084,0.10439561043620513,0.29978298618296506,0.7643426938605571,-0.17331560875807678,0.23590766443999495,False,
Specificity.interactional_immediacy,0.355704172010547,0.5524494774140855,0.6438673336710045,0.5196614660978502,-0.7270769069990346,1.4384852510201285,False,
Authority/Credibility.titles,0.1834514571162377,0.4410248871332075,0.4159662242843631,0.6774347186951137,-0.6809414379506913,1.0478443521831666,False,
Authority/Credibility.organizations,0.0025075375989540264,0.09031216906399192,0.027765223944264658,0.9778494025350757,-0.17450106113216257,0.17951613633007063,False,
Authority/Credibility.phrases,-0.30858493742669,0.2701601527543894,-1.1422296525988187,0.2533585734343431,-0.8380891068831328,0.22091923202975272,False,
Authority/Credibility.consensus,0.05788192401811797,0.09448240611442205,0.6126211894733142,0.5401268440956379,-0.12730018913883623,0.2430640371750722,False,
Authority/Credibility.speech_power,0.08103258377360008,0.18111319449710556,0.4474140274462173,0.6545761494973563,-0.27394275456572476,0.4360079221129249,False,
Logic/Cohesion.structural_reasoning,0.18957879668383823,0.10795990490748772,1.756011149197388,0.07908650486359181,-0.022018728709206736,0.4011763220768832,False,
Logic/Cohesion.discourse_cohesion,-0.002171402317193626,0.11288498297390578,-0.01923552858838241,0.984653215125572,-0.22342190334146617,0.21907909870707892,False,
Argumentation.conclusion_explicitness,0.13955340873952823,0.21074422709801083,0.6621932693540693,0.507847367188619,-0.2734976863223031,0.5526045038013596,False,
Argumentation.premise_density,-0.04913043169083167,0.10010143198786467,-0.4908064821369166,0.6235633249294381,-0.24532563318793213,0.14706476980626879,False,
Argumentation.style_sophistication,0.0005965977934860689,0.10606853972251551,0.0056246441692024834,0.9955122069204982,-0.20729391995540045,0.20848711554237256,False,
Opponent’s View.acknowledge,0.08890465276282679,0.23284690523944646,0.38181590891836126,0.7025979175838541,-0.36746689541809907,0.5452762009437526,False,
Opponent’s View.refutation_strength,-0.12975787576865327,0.23712912091695734,-0.5472034614175224,0.5842389583946055,-0.5945224124515333,0.3350066609142267,False,
